,date,text,polarity,Vader Sentiment
187,2021-02-04 07:57:30,"['ur', 'welcome']",0.8,0.0
188,2021-02-04 07:40:18,"['The', 'most', 'entertaining', 'outcome', 'is', 'the', 'most', 'likely']",0.375,0.0
189,2021-02-04 07:35:35,['Doge'],0.0,0.0
190,2021-02-04 07:29:09,[],0.0,0.0
191,2021-02-04 07:12:41,"['High', 'seas', '&ampwind']",0.16,0.0
192,2021-02-04 07:09:30,"['This', 'was', 'a', 'tough', 'one']",-0.3888888888888889,0.0
193,2021-02-04 07:07:29,"['RT', 'Watch', 'Falcon', '9', 'launch', '60', 'Starlink', 'satellites']",0.0,0.0
194,2021-02-02 08:45:48,"['Off', 'Twitter', 'for', 'a', 'while']",0.0,0.0
195,2021-02-01 23:21:08,"['It', 'will', 'be', 'filled', 'with', 'graffiti', 'art']",0.4,0.0
196,2021-02-01 23:19:31,['мсделаем'],0.0,0.0
197,2021-02-01 23:17:40,"['Giga', 'Berlin', 'progress']",0.0,0.0
198,2021-02-01 22:56:48,"['_', 'Neuralink', 'is', 'working', 'super', 'hard', 'to', 'ensure', 'implant', 'safety', '&ampis', 'in', 'close', 'communication', 'with', 'the', 'FDAIf', 'things', 'go', 'wellwe', 'might', 'be', 'able', 'to', 'do', 'initial', 'human', 'trials', 'later', 'this', 'year.']",0.09027777777777778,0.0
199,2021-02-01 21:58:40,"['RT', 'This', 'mission', 'enables', 'access', 'for', 'everyday', 'people', 'who', 'dream', 'of', 'going', 'to', 'space']",-0.2,0.0
200,2021-02-01 21:58:39,"['RT', 'Announcing', 'the', 'first', 'commercial', 'astronaut', 'mission', 'to', 'orbit', 'Earth', 'aboard', 'Dragon']",0.125,0.0
201,2021-01-31 23:59:16,"['If', 'you’ve', 'worked', 'on', 'advanced', 'wearablesphones', 'or', 'robotsthose', 'skills', 'are', 'needed']",0.4,0.0
202,2021-01-31 23:53:27,"['Feels', 'weird', 'helping', 'make', '(hopefully', 'good', 'version', 'ofCyberpunk', 'come', 'true']",0.18333333333333332,0.0
